Ticket_ID,Subject,Description,Category,Priority,Timestamp
1,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain?,Billing Inquiry,Medium,2025-12-01 07:08:54
2,Customizable dashboard,Please allow users to customize their dashboard layout and widgets.,Feature Request,Critical,2025-11-12 00:08:54
3,Request for mobile app,It would be great to have a mobile app version. Many users work on the go.,Feature Request,Critical,2025-12-01 02:08:54
4,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it?,Billing Inquiry,Medium,2025-09-30 02:08:54
5,Cannot connect to server,I'm unable to connect to the server. Getting connection refused errors. Firewall settings are correct.,Technical Issue,Critical,2025-11-20 10:08:54
6,API integration problem,The API integration is not working properly. Getting 500 errors when making requests.,Technical Issue,High,2025-10-18 03:08:54
7,Invoice download issue,I'm unable to download my invoice. The download link doesn't work. This is urgent.,Billing Inquiry,High,2025-10-10 11:08:54
8,Request for mobile app,It would be great to have a mobile app version. Many users work on the go.,Feature Request,Critical,2025-12-03 10:08:54
9,Permission access problem,I should have admin access but I'm only seeing user-level permissions. Please fix this. I've tried troubleshooting but nothing works.,Account Management,High,2025-10-27 03:08:54
10,Export to Excel feature,Could you add an option to export reports directly to Excel format? Currently only PDF is available.,Feature Request,Critical,2025-11-11 18:08:54
11,Password reset request,I forgot my password and need to reset it. The reset link in email is not working. This is urgent.,Account Management,Low,2025-10-09 17:08:54
12,Update profile information,I need to update my profile information but the save button is not working.,Account Management,High,2025-10-03 18:08:54
13,Customizable dashboard,Please allow users to customize their dashboard layout and widgets. This is urgent.,Feature Request,Critical,2025-10-29 06:08:54
14,Request for mobile app,It would be great to have a mobile app version. Many users work on the go. I've tried troubleshooting but nothing works.,Feature Request,Critical,2025-09-27 13:08:54
15,Performance degradation,The system has become very slow recently. Response times have increased significantly.,Technical Issue,High,2025-11-11 08:08:54
16,Cannot connect to server,I'm unable to connect to the server. Getting connection refused errors. Firewall settings are correct.,Technical Issue,High,2025-10-23 04:08:54
17,Database connection timeout,Experiencing frequent database connection timeouts. This is affecting our operations. Thank you for your assistance.,Technical Issue,Critical,2025-10-18 12:08:54
18,API integration problem,The API integration is not working properly. Getting 500 errors when making requests. This is urgent.,Technical Issue,Critical,2025-12-13 05:08:54
19,Update profile information,I need to update my profile information but the save button is not working.,Account Management,Medium,2025-12-02 20:08:54
20,Feature broken after update,The export feature stopped working after the recent update. It was working fine before.,Bug Report,Low,2025-11-07 14:08:54
